NominalDiam	Pitch	Minordiam	Helicoil
2.52	0.4	2.1	M2
3.08	0.45	2.6	M2,5
3.65	0.5	3.2	M3
4.28	0.6	3.7	M3,5
4.91	0.7	4.2	M4
6.04	0.8	5.2	M5
7.3	1	6.3	M6
8.3	1	7.3	M7
9.62	1.25	8.4	M8
9.3	1	8.3	M8x1
10.62	1.25	9.4	M9
11.95	1.5	10.5	M10
11.3	1	10.25	M10x1
11.62	1.25	10.4	M10x1,25
12.95	1.5	11.5	M11
14.27	1.75	12.5	M12
13.3	1	12.25	M12x1
13.62	1.25	12.25	M12x1,25
13.95	1.5	12.5	M12x1,5
16.6	2	14.5	M14
15.3	1	14.25	M14x1
15.62	1.25	14.25	M14x1,25
15.95	1.5	14.5	M14x1,5
18.6	2	16.5	M16
17.95	1.5	16.5	M16x1.5
21.25	2.5	18.75	M18
19.95	1.5	18.5	M18x1,5
20.6	2	18.5	M18x2
23.25	2.5	20.75	M20
21.95	1.5	20.5	M20x1,5
22.6	2	20.5	M20x2
